iter	RMSE
0	0.9339719715
1	0.9285248651
2	0.9232090646
3	0.9183746305
4	0.9136324358
5	0.9088945822
6	0.9043491222
7	0.8999768223
8	0.8960075896
9	0.89232269
10	0.8887229622
11	0.8852786621
12	0.8819406003
13	0.8786552234
14	0.8754963033
15	0.8725056301
16	0.8698023691
17	0.8670157991
18	0.8643458716
19	0.8618837115
20	0.8593547763
21	0.8570289705
22	0.8546388929
23	0.8523018922
24	0.8501294083
25	0.8480085528
26	0.846080059
27	0.8441499365
28	0.8423068911
29	0.8406068133
30	0.8389823102
31	0.8375127229
32	0.8359956636
33	0.834417106
34	0.8330309218
35	0.8316106494
36	0.8304232567
37	0.828914893
38	0.8277342811
39	0.8264625208
40	0.8251033859
41	0.8240700932
42	0.8229991882
43	0.8219711395
44	0.8209718163
45	0.8199033804
46	0.8188718881
47	0.8178447791
48	0.8170269638
49	0.8160956152
50	0.8152130214
51	0.8142962364
52	0.8135445086
53	0.8127588008
54	0.8117359249
55	0.8109664588
56	0.8101740644
57	0.8094735767
58	0.8086709759
59	0.8079920033
60	0.8072739895
61	0.8065095921
62	0.8055772966
63	0.8049282045
64	0.8042921571
65	0.8036902526
66	0.8029808264
67	0.8020361028
68	0.8014647468
69	0.8008537777
70	0.8002190681
71	0.7995691676
72	0.7989958144
73	0.7982118796
74	0.797698072
75	0.7972307085
76	0.7968048036
77	0.7962490938
78	0.7957830999
79	0.7952200474
80	0.7946449842
81	0.7942756724
82	0.7936299934
83	0.793195693
84	0.7925762461
85	0.7921455685
86	0.7917549047
87	0.7910454123
88	0.7905022311
89	0.7900847423
90	0.7896523134
91	0.7891692318
92	0.788743259
93	0.7882473029
94	0.7878668189
95	0.7874131973
96	0.7869459137
97	0.7864807685
98	0.7860812131
99	0.7856432253
100	0.785129572
101	0.7847660207
102	0.7843542183
103	0.7839126401
104	0.7835807429
105	0.783213552
106	0.7828843482
107	0.7825365881
108	0.7821498282
109	0.7816213206
110	0.7813795939
111	0.7810941335
112	0.7808278558
113	0.7805037897
114	0.7801660474
115	0.7798635163
116	0.7795560742
117	0.7792486673
118	0.778894193
119	0.7785643577
120	0.7781689121
121	0.7779356188
122	0.7776502564
123	0.7771715168
124	0.7768664575
125	0.7766236386
126	0.7763861106
127	0.7760138436
128	0.7757620442
129	0.7754920093
130	0.7751755847
131	0.7748790886
132	0.7746402308
133	0.774433083
134	0.7740916633
135	0.7737906788
136	0.7735831043
137	0.773293592
138	0.7729133301
139	0.7726511599
140	0.7723946447
141	0.7720279812
142	0.7717797189
143	0.7715414825
144	0.7713116785
145	0.7710534021
146	0.770767198
147	0.7704261623
148	0.7701788656
149	0.7698950101
150	0.7696509932
151	0.7693472034
152	0.7691337528
153	0.7688710845
154	0.7686937295
155	0.7682694345
156	0.7680436299
157	0.7676985261
158	0.7673618
159	0.7671242856
160	0.7668906164
161	0.7666759824
162	0.7664121209
163	0.7660142057
164	0.7656923266
165	0.7653370126
166	0.765110329
167	0.7648530622
168	0.7644952999
169	0.7643073276
170	0.7641349878
171	0.7639438618
172	0.763663457
173	0.7634012996
174	0.76318753
175	0.7629189287
176	0.7627265121
177	0.7625219628
178	0.762319644
179	0.7621838896
180	0.762028477
181	0.7617607938
182	0.761563711
183	0.7613112625
184	0.7611241074
185	0.7608799112
186	0.7607077249
187	0.7604892372
188	0.760325403
189	0.7601720846
190	0.7598282376
191	0.7596347485
192	0.7594013525
193	0.7592651185
194	0.7590562857
195	0.7588454992
196	0.7586555184
197	0.7584301596
198	0.7582846738
199	0.7581010775
200	0.7579213445
201	0.7577722051
202	0.7575354779
203	0.7572877743
204	0.7571235612
205	0.7569608894
206	0.7567984122
207	0.7564750551
208	0.7563270571
209	0.7560974582
210	0.7558054608
211	0.7556602244
212	0.7554758778
213	0.7552757324
214	0.7551418125
215	0.7548384212
216	0.7546540507
217	0.7544480674
218	0.7542380302
219	0.7541402577
220	0.7540140114
221	0.7538208706
222	0.7537086868
223	0.7535152903
224	0.7533662648
225	0.7532201686
226	0.7530918122
227	0.7528408341
228	0.7526546586
229	0.7524937433
230	0.7522624376
231	0.7520584417
232	0.7518162785
233	0.7516447865
234	0.7514589515
235	0.7512650405
236	0.7511610125
237	0.7509676531
238	0.750888931
239	0.7507338922
240	0.7505408036
241	0.7504654308
242	0.7502868616
243	0.7500623314
244	0.7499413517
245	0.7496676506
246	0.7495029874
247	0.7493375857
248	0.7492101319
249	0.7490509627
250	0.7488424067
251	0.7486819755
252	0.7485024954
253	0.748367809
254	0.7482043826
255	0.7480461351
256	0.7479085452
257	0.7477354427
258	0.7475398028
259	0.747360371
260	0.7472189291
261	0.7470464827
262	0.7468689956
263	0.7467092707
264	0.7464338304
265	0.7462427492
266	0.7460793915
267	0.7458737409
268	0.7456396318
269	0.7454355812
270	0.7452574721
271	0.7451075593
272	0.7448761316
273	0.7447105741
274	0.7445179546
275	0.7444029299
276	0.7442720722
277	0.7441626857
278	0.7440024267
279	0.7439162402
280	0.7437615114
281	0.7436237986
282	0.7434921376
283	0.7433800386
284	0.7431810168
285	0.7429880019
286	0.7429002399
287	0.7427269942
288	0.7425659235
289	0.7424152653
290	0.7422594614
291	0.742080775
292	0.7419302369
293	0.7417738016
294	0.7415945205
295	0.7413957247
296	0.7410869405
297	0.7408619575
298	0.7406399712
299	0.7404424006
300	0.7402718793
301	0.7400792098
302	0.7399620271
303	0.739812651
304	0.7396105227
305	0.7394074219
306	0.7392088178
307	0.7389983265
308	0.7388383581
309	0.7385815008
310	0.7385032022
311	0.7383854745
312	0.7382259523
313	0.738096548
314	0.7379163907
315	0.7378156752
316	0.7376205435
317	0.7374746822
318	0.7373673994
319	0.7371924513
320	0.7370951572
321	0.73699383
322	0.7368993946
323	0.7367798957
324	0.7366562568
325	0.7365427939
326	0.736355016
327	0.7362101546
328	0.7361122244
329	0.7359942333
330	0.7358234017
331	0.7356621697
332	0.7354809788
333	0.7353249042
334	0.7351759499
335	0.734990673
336	0.7348609489
337	0.7346998278
338	0.734486218
339	0.7343884956
340	0.7342693586
341	0.73416195
342	0.7340820386
343	0.7339308719
344	0.7337665024
345	0.7335148687
346	0.7334115492
347	0.7331982899
348	0.7329941444
349	0.7328685576
350	0.732688811
351	0.732591514
352	0.7324448275
353	0.732311406
354	0.7321439974
355	0.7320402348
356	0.7318511579
357	0.7317426423
358	0.7315598078
359	0.7313776001
360	0.7311709124
361	0.7310126923
362	0.7308848226
363	0.7307622023
364	0.730637027
365	0.7305200026
366	0.7303939121
367	0.7302647638
368	0.7300831848
369	0.7298596704
370	0.7296602177
371	0.7295202021
372	0.7293886439
373	0.729280719
374	0.7290751348
375	0.7288688063
376	0.7287279321
377	0.7285799555
378	0.7284336242
379	0.7283099657
380	0.7281952763
381	0.7280482894
382	0.7278725512
383	0.7277391977
384	0.727604317
385	0.7274960547
386	0.7273364448
387	0.7271531295
388	0.7270520756
389	0.7269357925
390	0.7268004405
391	0.7266671758
392	0.7265513133
393	0.7264164243
394	0.7261983816
395	0.726011642
396	0.725887517
397	0.725739877
398	0.7256079458
399	0.7254498429
400	0.7253303448
401	0.7251303609
402	0.7249979325
403	0.724726433
404	0.7245795004
405	0.7244534185
406	0.7243171777
407	0.7241821641
408	0.72403619
409	0.7238486649
410	0.723634053
411	0.7234621749
412	0.7232624336
413	0.7230871852
414	0.7229071965
415	0.7227677395
416	0.7226120376
417	0.722477814
418	0.7222740406
419	0.7220844098
420	0.7219654489
421	0.7217917532
422	0.7216861087
423	0.7215262058
424	0.7213690634
425	0.7211582549
426	0.7210324137
427	0.7208246997
428	0.7206527117
429	0.720533429
430	0.7203501939
431	0.7202190364
432	0.7200596509
433	0.7199274236
434	0.7197739678
435	0.7196488143
436	0.719496202
437	0.7193761619
438	0.7192302587
439	0.7190952871
440	0.7189875585
441	0.7188330101
442	0.7187076412
443	0.7185231836
444	0.7184161059
445	0.7183412756
446	0.71818291
447	0.7179982489
448	0.7178710102
449	0.7176900971
450	0.7175639874
451	0.7173678186
452	0.7172049747
453	0.717099692
454	0.7169843653
455	0.7168587409
456	0.7166931767
457	0.7165130981
458	0.7162756638
459	0.7161311581
460	0.716014729
461	0.7158730088
462	0.7156811759
463	0.7155274625
464	0.7154113854
465	0.7153025905
466	0.7150985842
467	0.7149980096
468	0.7148881414
469	0.7147212948
470	0.714563766
471	0.7144306186
472	0.7142638011
473	0.7141541267
474	0.7140015728
475	0.7138662034
476	0.7137373791
477	0.7135785381
478	0.7134854902
479	0.7133613948
480	0.7132326055
481	0.7130862359
482	0.7129830925
483	0.7128319494
484	0.7126370319
485	0.7124830874
486	0.7123300238
487	0.7121930955
488	0.7120621231
489	0.7119634007
490	0.711853567
491	0.7117246885
492	0.7115896476
493	0.7114309702
494	0.7113276523
495	0.711184266
496	0.711076943
497	0.7109671581
498	0.7107958117
499	0.7106882757
500	0.710534222
501	0.7104126439
502	0.710267574
503	0.7101158455
504	0.7099930283
505	0.7098281335
506	0.7097005998
507	0.7095878932
508	0.7094776329
509	0.7093397895
510	0.7091880522
511	0.7090266141
512	0.7089181527
513	0.7087934248
514	0.7086824544
515	0.7085514418
516	0.7084517758
517	0.7083426438
518	0.7081847764
519	0.7080882454
520	0.7079069588
521	0.7078102676
522	0.7077216285
523	0.7076150714
524	0.7074903138
525	0.7073785237
526	0.7072640737
527	0.7071651323
528	0.7069816765
529	0.7068735996
530	0.7067761195
531	0.7066849623
532	0.7065931836
533	0.7064350555
534	0.7063178123
535	0.7061689076
536	0.7060327904
537	0.705899608
538	0.7057754716
539	0.7056423318
540	0.7055353319
541	0.705444924
542	0.7052641358
543	0.7051598189
544	0.7050610469
545	0.7049466797
546	0.7048009077
547	0.7046985968
548	0.7045779697
549	0.7044828089
550	0.7043798118
551	0.7042713303
552	0.7041480738
553	0.7040145428
554	0.7039237422
555	0.7038170533
556	0.7036659942
557	0.7035100864
558	0.7033790634
559	0.7032628057
560	0.7031483958
561	0.7030665393
562	0.7029871921
563	0.7028519988
564	0.7026717873
565	0.7025640391
566	0.7023924909
567	0.7022868889
568	0.7021812666
569	0.7020425831
570	0.7019289873
571	0.7018298685
572	0.7017252544
573	0.7016139206
574	0.7014648433
575	0.7012850247
576	0.7011611762
577	0.7010763793
578	0.7009751704
579	0.700856053
580	0.7007631946
581	0.7006363559
582	0.7005458123
583	0.7004752733
584	0.7003633719
585	0.7002177055
586	0.7001167678
587	0.6999938113
588	0.6998564479
589	0.6997557137
590	0.6996069702
591	0.6994796644
592	0.6993342549
593	0.6992071706
594	0.6991232001
595	0.6990038434
596	0.6989205107
597	0.6988236238
598	0.698727356
599	0.698627696
600	0.6985016478
601	0.6983945376
602	0.698289019
603	0.6981790644
604	0.698067959
605	0.6979703733
606	0.6978558709
607	0.6977772251
608	0.6976619466
609	0.6975368926
610	0.6974169759
611	0.6973178599
612	0.6971888512
613	0.6970762583
614	0.696961543
615	0.696857435
616	0.6967369289
617	0.6966614264
618	0.6965674219
619	0.6964869437
620	0.6963475241
621	0.6962184333
622	0.696115635
623	0.696051534
624	0.6959620531
625	0.6958574902
626	0.6957475912
627	0.6955948624
628	0.6954831147
629	0.6953355435
630	0.6952093472
631	0.6951213561
632	0.6949877171
633	0.6948303611
634	0.6947450779
635	0.6946199111
636	0.694467581
637	0.694365986
638	0.6942459313
639	0.6941721986
640	0.6940399722
641	0.6939485683
642	0.6938464931
643	0.6937662816
644	0.693678104
645	0.6934890217
646	0.6934079168
647	0.6933305508
648	0.6931787427
649	0.6930444549
650	0.6929100903
651	0.6928124017
652	0.6927036447
653	0.6926144316
654	0.6925164352
655	0.6924097683
656	0.6923097406
657	0.6922129754
658	0.6921122105
659	0.6919776574
660	0.6919011301
661	0.6918203148
662	0.6916887678
663	0.6915573687
664	0.6914592561
665	0.6913560466
666	0.6912509781
667	0.6911440579
668	0.6910438499
669	0.6909613119
670	0.6908135178
671	0.6907119312
672	0.6905842679
673	0.6904668408
674	0.6903733199
675	0.6902821402
676	0.6901615221
677	0.6900078133
678	0.6899128283
679	0.6897619249
680	0.6896502921
681	0.6895693959
682	0.6894663297
683	0.6893472341
684	0.6892202942
685	0.6891236731
686	0.689045966
687	0.6889864761
688	0.6888579939
689	0.6887740591
690	0.6887097661
691	0.6886403596
692	0.6885438158
693	0.688444701
694	0.6883103791
695	0.6881754463
696	0.6880788853
697	0.6880023109
698	0.6878865055
699	0.6878028093
