iter	Passed	Remaining
0	438	306847
1	775	270545
2	1085	252119
3	1368	238204
4	1656	230206
5	1933	223605
6	2225	220278
7	2526	218543
8	2835	217672
9	3131	216091
10	3449	216048
11	3726	213663
12	4013	212092
13	4313	211345
14	4606	210377
15	4891	209103
16	5175	207944
17	5474	207420
18	5763	206591
19	6048	205660
20	6346	205204
21	6616	203912
22	6897	203025
23	7188	202474
24	7466	201608
25	7764	201287
26	8044	200512
27	8338	200135
28	8645	200027
29	8935	199555
30	9218	198950
31	9502	198354
32	9774	197566
33	10059	197045
34	10355	196756
35	10631	196089
36	10940	196043
37	11257	196108
38	11545	195689
39	11855	195618
40	12162	195491
41	12433	194786
42	12717	194307
43	12989	193661
44	13248	192840
45	13513	192122
46	13796	191687
47	14077	191220
48	14357	190745
49	14633	190235
50	14909	189728
51	15206	189492
52	15485	189035
53	15751	188433
54	16043	188142
55	16327	187769
56	16615	187429
57	16895	187011
58	17200	186872
59	17475	186402
60	17756	186007
61	18028	185523
62	18331	185348
63	18607	184910
64	18892	184567
65	19167	184123
66	19462	183874
67	19754	183599
68	20028	183157
69	20299	182695
70	20576	182286
71	20864	181988
72	21150	181665
73	21442	181392
74	21717	180981
75	21989	180547
76	22262	180123
77	22534	179695
78	22805	179265
79	23100	179030
80	23378	178657
81	23646	178215
82	23939	177956
83	24216	177585
84	24486	177165
85	24772	176864
86	25059	176565
87	25368	176428
88	25646	176066
89	25916	175654
90	26180	175209
91	26462	174885
92	26743	174551
93	27048	174374
94	27432	174704
95	27719	174401
96	28006	174099
97	28317	173950
98	28602	173635
99	28868	173213
100	29155	172909
101	29427	172524
102	29693	172107
103	29978	171798
104	30247	171401
105	30536	171120
106	30808	170744
107	31085	170395
108	31382	170155
109	31670	169868
110	31934	169454
111	32211	169110
112	32474	168693
113	32751	168355
114	33057	168163
115	33332	167810
116	33584	167349
117	33871	167059
118	34143	166701
119	34418	166357
120	34692	166007
121	34957	165620
122	35222	165228
123	35516	164978
124	35786	164615
125	36048	164223
126	36326	163900
127	36612	163612
128	36884	163262
129	37156	162917
130	37422	162543
131	37684	162159
132	37953	161802
133	38224	161456
134	38507	161159
135	38769	160781
136	39036	160420
137	39309	160086
138	39587	159773
139	39855	159420
140	40131	159102
141	40412	158804
142	40688	158486
143	40957	158140
144	41220	157775
145	41493	157447
146	41763	157109
147	42041	156803
148	42295	156407
149	42571	156095
150	42827	155710
151	43087	155341
152	43359	155018
153	43632	154695
154	43895	154342
155	44183	154076
156	44458	153765
157	44733	153451
158	44997	153103
159	45267	152779
160	45540	152463
161	45804	152116
162	46082	151818
163	46392	151622
164	46671	151328
165	46948	151025
166	47225	150727
167	47498	150411
168	47781	150131
169	48049	149800
170	48315	149466
171	48608	149215
172	48907	148983
173	49193	148711
174	49471	148414
175	49756	148139
176	50025	147814
177	50302	147515
178	50568	147184
179	50825	146830
180	51099	146523
181	51396	146282
182	51675	145989
183	51946	145674
184	52223	145379
185	52496	145070
186	52762	144744
187	53034	144435
188	53297	144101
189	53561	143769
190	53847	143498
191	54118	143187
192	54398	142901
193	54659	142564
194	54923	142238
195	55194	141928
196	55467	141624
197	55756	141362
198	56034	141071
199	56310	140777
200	56584	140474
201	56849	140152
202	57122	139852
203	57400	139561
204	57677	139269
205	57944	138955
206	58205	138623
207	58531	138450
208	58803	138145
209	59074	137840
210	59358	137566
211	59619	137237
212	59903	136961
213	60182	136676
214	60447	136358
215	60729	136078
216	60999	135773
217	61281	135494
218	61560	135208
219	61837	134918
220	62098	134593
221	62380	134315
222	62670	134052
223	62944	133757
224	63230	133486
225	63500	133183
226	63762	132861
227	64042	132579
228	64351	132355
229	64617	132045
230	64902	131771
231	65182	131488
232	65468	131218
233	65737	130913
234	66006	130608
235	66287	130327
236	66548	130008
237	66824	129719
238	67084	129396
239	67356	129099
240	67631	128808
241	67893	128493
242	68165	128195
243	68465	127951
244	68732	127645
245	69021	127381
246	69295	127089
247	69580	126816
248	69847	126510
249	70122	126221
250	70397	125930
251	70678	125649
252	70954	125362
253	71235	125082
254	71519	124807
255	71783	124498
256	72059	124211
257	72326	123908
258	72605	123625
259	72880	123336
260	73142	123024
261	73400	122707
262	73681	122428
263	73951	122131
264	74238	121863
265	74508	121567
266	74782	121276
267	75053	120981
268	75332	120700
269	75626	120442
270	75919	120182
271	76199	119901
272	76487	119633
